ei	True	ei	ikke	fkv	nob
går	True	gå	kulkeet, kävellä, käyđä	nob	fkv
gikk	True	gå	kulkeet, kävellä, käyđä	nob	fkv
tulen	True	tuli, tulla	komme; ild, glød	fkv	nob
tulla	True	tulla	komme	fkv	nob
tulla	True	tulla	komme	fkv	nob
tulla	True	tulla	komme	fkv	nob
tulla	True	tulla	komme	fkv	nob
tulla	False	-	-	fkv	nob
tulla	True	tulla	komme	fkv	nob
tulla	True	tulla	komme	fkv	nob
tulla	True	tulla	komme	fkv	nob
auttaat	True	auttaat	hjelpe	fkv	nob
auttaat	True	auttaat	hjelpe	fkv	nob
saađa	True	saađa	få	fkv	nob
saađa	True	saađa	få	fkv	nob
saađa	True	saađa	få	fkv	nob
saađa	True	saađa	få	fkv	nob
saa	True	saađa	få	fkv	nob
saađa	True	saađa	få	fkv	nob
saađa	True	saađa	få	fkv	nob
saađa	True	saađa	få	fkv	nob
kiella	False			fkv	nob
giella	False			fkv	nob
jeg	True	jeg	mie	nob	fkv
sie	True	sie	du	fkv	nob
hää	True	häät	bryllup	fkv	nob
hän	True	hän	han, hun	fkv	nob
myö	False			fkv	nob
me	False			fkv	nob
mee	False			fkv	nob
myö	False			fkv	nob
työ	True	työ	arbeid	fkv	nob
ikke	True	ikke	en, et, ei, emmæ, että, eivät	nob	fkv
ikke	True	ikke	en, et, ei, emmæ, että, eivät	nob	fkv
ikke	True	ikke	en, et, ei, emmæ, että, eivät	nob	fkv
båt	True	båt	kahđekses; venet	nob	fkv
båten	False			nob	fkv
bøker	True	bok	kirja	nob	fkv
jommallekummalle	False			fkv	nob
litteratur	False			nob	fkv
jeg	True	jeg	mie	nob	fkv
koulu	True	koulu	skole	fkv	nob
olla	False			nob	fkv
olla	True	olla	være	fkv	nob
kunka	True	kunka	hvordan	fkv	nob
litteratuurissa	False			fkv	nob
kväänin	True	kvääni	kvænsk	fkv	nob
ainuat	False			fkv	nob
jaethaan	True	jakkaat	dele	fkv	nob
hyvvää	False			fkv	nob
asunu	True	assuut	bo	fkv	nob
assiissa	True	assii	sak	fkv	nob
oon	True	olla, oon	være; er	fkv	nob
saamee	False			fkv	nob
äidinkielenopetusta	False			fkv	nob
kumpikhaan	False			fkv	nob
luphaus	False			fkv	nob
        hverandre	fkv	nob
tuli	True	tuli, tulla	komme; ild, glød	fkv	nob
tulla	True	tulla	komme	fkv	nob
oon	True	olla	være	fkv	nob
jaethaan	True	jakkaat	dele	fkv	nob
kirjat	True	kirja	bok	fkv	nob
apu	True	apu	hjelp	fkv	nob
rommaanii	False			fkv	nob
jaethaan	True	jakkaat	dele	fkv	nob
lämmin	True	lämmin	varm	fkv	nob
lämmin	True	lämmin	varm	fkv	nob
lämmin	True	lämmin	varm	fkv	nob
oluta	False			fkv	nob
olutta	False			fkv	nob
olut	False			fkv	nob
tamppu	True	tamppu	stamp	fkv	nob
tamppu	True	tamppu	stamp	fkv	nob
lanka	True	lanka	garn, tråd	fkv	nob
lanka	True	lanka	garn, tråd	fkv	nob
kenkä	True	kenkä	sko	fkv	nob
kenkä	True	kenkä	sko	fkv	nob
jänkkä	True	jänkkä	myr	fkv	nob
jänkkä	True	jänkkä	myr	fkv	nob
dope	False			nob	fkv
dåpe	False			nob	fkv
dåp	True	dåp	kastet	nob	fkv
ranta	True	ranta	strand	fkv	nob
ranta	True	ranta	strand	fkv	nob
asemasta	False			fkv	nob
yllättynny	False			fkv	nob
sama	True	sama	samme	fkv	nob
sama	True	sama	samme	fkv	nob
sarka	True	sarka	vedteig	fkv	nob
sarka	True	sarka	vedteig	fkv	nob
sarka	True	sarka	vedteig	fkv	nob
sonta	True	sonta	møkk	fkv	nob
sonta	True	sonta	møkk	fkv	nob
sonta	True	sonta	møkk	fkv	nob
varsa	True	varsa	føll	fkv	nob
varsa	True	varsa	føll	fkv	nob
hiili	True	hiili	kull	fkv	nob
hiili	True	hiili	kull	fkv	nob
suuri	True	suuri	stor	fkv	nob
suuri	True	suuri	stor	fkv	nob
veri	True	veri	blod	fkv	nob
veitti	True	veitti	kniv	fkv	nob
veitti	True	veitti	kniv	fkv	nob
hyksi	True	hyksi	hår	fkv	nob
hyksi	True	hyksi	hår	fkv	nob
haasi	True	haasi	hesje	fkv	nob
haasi	True	haasi	hesje	fkv	nob
jakki	False			fkv	nob
lappii	True	lappi, lappii	lappisk, samisk; spade	fkv	nob
lappii	True	lappii	spade	fkv	nob
astii	True	astii	kar	fkv	nob
astii	True	astii	kar	fkv	nob
haasi	True	haasi	hesje	fkv	nob
haasi	True	haasi	hesje	fkv	nob
astii	True	astii	kar	fkv	nob
astii	True	astii	kar	fkv	nob
rautio	False			fkv	nob
kärrö	True	kärrö	smålaks	fkv	nob
kärrö	True	kärrö	smålaks	fkv	nob
maito	True	maito	melk	fkv	nob
maito	True	maito	melk	fkv	nob
riekko	True	riekko	rype	fkv	nob
verto	False			fkv	nob
pallo	True	pallo	ball	fkv	nob
juttaat	True	juttaat	bevege, flytte på seg	fkv	nob
apu	True	apu	hjelp	fkv	nob
apu	True	apu	hjelp	fkv	nob
teppu	True	teppu	tang	fkv	nob
teppu	True	teppu	tang	fkv	nob
varpu	True	varpu	bjørkeris, bladstilk	fkv	nob
varpu	True	varpu	bjørkeris, bladstilk	fkv	nob
rassuu	True	rassuu	fett, talg, stearin	fkv	nob
rassuu	True	rassuu	fett, talg, stearin	fkv	nob
